gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target
0,1,1,1,17,4,0,2,0,1,0,1,0
0,1,1,0,20,4,0,0,0,1,0,0,0
1,1,1,0,13,4,1,2,1,0,0,1,0
2,1,1,0,23,0,1,6,1,1,1,0,0
2,1,1,0,15,1,0,3,1,1,1,0,0
0,1,1,0,24,4,0,3,1,1,1,1,0
2,1,0,0,20,1,2,1,0,1,1,1,0
0,1,1,0,12,5,0,0,0,1,1,0,0
1,1,1,0,14,6,1,0,0,1,1,0,0
3,1,1,0,5,7,0,0,1,1,1,0,0
3,1,1,0,9,0,0,0,1,1,1,1,0
0,1,1,0,18,5,2,0,0,1,1,1,0
4,1,0,0,4,1,0,0,0,1,1,0,0
1,1,1,0,19,0,0,8,1,1,1,0,0
6,1,1,0,21,1,0,0,0,1,1,1,0
0,1,1,0,16,1,0,0,0,1,1,0,0
4,1,1,0,18,4,0,8,1,1,1,1,0
1,1,1,0,23,3,4,0,1,1,1,1,0
8,1,1,0,14,5,0,10,1,1,1,0,0
1,1,0,0,9,0,1,3,1,1,1,0,0
1,1,1,0,14,5,0,0,1,1,1,1,0
1,1,1,0,10,0,4,5,1,1,0,0,0
10,1,1,1,6,0,4,0,1,1,0,0,0
2,1,0,1,0,0,0,0,1,1,0,0,0
5,1,1,0,4,0,3,0,1,1,0,0,0
15,1,1,0,2,1,0,0,1,1,0,0,0
4,1,1,1,2,0,0,0,1,1,0,0,0
2,1,1,1,1,0,0,1,1,1,0,0,0
4,1,0,0,0,0,0,0,1,1,0,0,0
17,1,0,0,9,0,0,0,1,1,0,0,0
1,1,1,0,5,0,0,0,1,1,0,1,0
4,1,0,0,2,0,0,1,0,1,0,0,0
57,1,0,0,16,4,7,0,0,0,0,0,0
201,1,0,0,7,6,0,0,0,0,0,0,0
25,1,1,0,12,9,3,0,0,0,0,0,0
44,1,1,0,16,1,0,2,0,1,0,0,0
122,1,1,0,15,7,2,27,0,1,0,0,0
31,1,0,1,3,3,1,0,0,0,0,0,0
203,1,0,0,9,0,1,0,0,1,0,0,0
40,1,0,0,6,4,2,24,0,1,0,0,0
222,1,1,1,7,10,6,0,0,1,0,0,0
71,1,0,0,9,1,3,9,0,0,0,0,0
35,1,0,0,12,9,0,0,0,1,0,0,0
28,1,1,0,11,0,1,0,0,1,0,0,0
27,1,0,0,15,5,0,2,0,1,0,0,0
3,1,1,0,8,1,2,0,0,1,0,0,0
421,1,0,0,15,1,8,0,0,1,0,0,0
659,1,1,1,24,2,6,0,0,0,0,0,0
19,1,0,0,6,2,0,0,0,1,0,0,0
44,1,0,0,15,2,5,2,0,1,0,0,0
84,1,0,0,16,8,2,0,0,1,0,0,0
102,1,1,0,21,7,0,0,0,1,0,0,0
1379,1,1,0,4,1,0,0,0,1,0,0,0
62,1,0,0,8,2,0,0,0,1,0,0,0
178,1,1,0,13,2,1,0,0,1,0,0,0
143,1,0,0,17,1,1,0,0,1,0,0,0
70,1,1,0,11,4,1,0,0,1,0,0,0
896,1,1,0,9,3,0,5,0,1,0,0,0
1565,1,1,0,10,0,0,0,0,1,0,0,0
308,1,1,0,10,4,0,9,0,1,0,0,0
74,1,0,0,8,0,2,0,0,1,0,0,0
211,1,0,0,14,0,0,0,0,1,0,0,0
3,1,1,0,12,0,2,20,0,1,0,0,0
108,1,0,0,17,1,1,2,0,1,0,0,0
57,1,0,0,15,2,0,0,0,0,0,0,0
162,1,0,0,12,3,6,0,0,1,0,0,0
132,1,0,0,3,1,0,0,0,1,0,0,0
6,1,0,0,2,3,1,0,0,1,0,0,0
9,1,1,0,14,5,1,1,0,1,0,0,0
44,1,1,0,13,3,3,0,0,1,1,0,0
31,1,1,0,9,2,1,1,0,1,1,0,0
5,1,0,0,2,6,0,0,1,1,1,0,0
36,1,0,0,10,7,1,0,0,1,1,0,0
11,1,1,0,7,2,0,0,0,0,1,0,0
12,1,1,0,8,0,2,0,1,1,1,1,0
