gs_citations,is_intro_pres,is_meth_pres,is_res_pres,no_images,no_tables,no_alg,no_equations,fund_avail,accept_avail,suppl_info,link_to_code,target
5,1,1,0,7,1,0,0,1,1,0,1,1
4,1,0,0,9,3,1,7,1,1,0,1,1
0,1,1,0,2,7,0,0,1,1,0,1,1
1,1,1,0,9,2,0,0,1,1,0,1,1
9,1,1,0,24,5,0,0,0,1,0,1,1
5,1,1,0,12,4,1,3,0,1,0,1,1
9,1,1,0,10,5,1,0,1,1,0,0,1
6,1,1,0,10,4,4,0,1,1,0,1,1
5,1,1,0,15,2,0,0,0,1,0,1,1
8,1,1,0,11,9,3,0,0,1,0,0,1
10,1,1,0,1,0,0,0,1,1,0,1,1
2,1,1,0,2,3,0,0,0,1,0,1,1
4,1,1,0,15,6,0,0,1,1,0,1,1
6,1,1,0,8,5,1,2,1,1,0,1,1
9,1,1,0,8,2,2,6,1,1,0,1,1
13,1,1,1,12,0,2,4,0,1,0,0,1
4,1,1,0,15,2,0,0,1,1,0,1,1
0,1,1,0,4,9,0,1,1,1,0,1,1
4,1,1,0,12,0,2,0,1,1,0,0,1
2,1,0,0,2,0,1,0,1,1,0,1,1
11,1,1,0,13,5,2,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,1,1
9,1,1,0,22,2,2,0,0,1,0,1,1
4,1,1,1,11,6,2,0,1,1,0,1,1
2,1,1,0,1,13,1,0,0,1,0,1,1
1,1,1,0,5,6,1,0,1,1,0,1,1
10,1,1,0,16,2,1,0,1,1,0,1,1
0,1,1,1,12,4,1,0,1,1,0,1,1
6,1,1,0,10,2,0,0,0,1,0,1,1
1,1,1,0,10,5,0,0,1,1,0,1,1
9,1,1,0,11,2,0,0,1,1,0,1,1
5,1,1,0,17,5,0,6,1,1,0,1,1
2,1,1,0,4,2,0,0,1,1,0,1,1
2,1,1,0,12,6,1,0,1,1,0,1,1
21,1,1,0,9,1,0,0,0,1,1,1,1
721,1,1,0,15,0,0,0,0,1,0,0,1
13,1,1,0,9,0,0,0,0,1,0,1,1
1,1,1,0,13,2,1,0,0,1,1,1,1
5,1,1,0,2,5,0,0,1,1,0,1,1
5,1,1,0,6,8,0,0,0,1,0,1,1
16,1,1,0,12,1,0,0,1,1,0,1,1
8,1,1,0,6,1,0,0,1,1,0,0,1
1,1,1,0,17,5,2,1,1,1,0,1,1
3,1,1,0,7,6,0,0,0,1,0,1,1
21,1,1,0,8,6,0,0,1,1,0,1,1
1,1,1,0,2,5,0,0,1,1,0,1,1
1,0,1,0,1,0,0,0,0,1,0,1,1
18,1,1,0,16,4,0,2,0,0,0,1,1
2,1,1,0,16,3,2,0,0,1,0,1,1
6,1,1,0,9,2,0,0,0,0,0,1,1
4,1,1,0,17,0,0,0,0,0,0,1,1
7,1,0,0,21,0,0,0,0,0,1,1,1
0,1,1,0,10,0,1,0,0,0,0,1,1
2,1,1,0,12,0,0,0,0,0,0,1,1
6,1,1,0,7,4,0,0,0,0,0,1,1
5,1,1,0,8,1,3,0,1,0,0,0,1
1,1,1,0,2,0,0,0,0,1,0,1,1
8,1,0,0,7,6,2,3,1,1,0,1,1
1,1,1,0,15,0,0,0,1,1,0,1,1
2,1,1,0,1,1,4,1,1,1,0,1,1
2,1,0,0,2,0,0,0,1,1,0,0,1
4,1,0,0,11,2,0,0,1,1,0,0,1
9,1,1,0,6,6,8,0,1,1,0,0,1
2,1,1,0,9,2,1,0,1,1,0,1,1
2,1,1,0,15,6,1,0,1,1,0,1,1
1,1,1,0,2,2,1,0,0,0,0,0,1
4,1,1,0,3,2,3,0,1,1,0,1,1
8,1,1,0,12,5,2,1,0,1,0,1,1
7,1,1,0,8,1,7,0,1,1,0,0,1
2,1,1,0,6,4,0,0,1,1,0,1,1
0,1,0,0,4,1,0,0,0,1,0,1,1
6,1,1,0,12,6,1,2,0,1,0,1,1
7,1,0,1,9,4,3,16,1,1,1,1,1
0,1,1,0,3,9,0,0,0,1,0,1,1
10,1,1,0,16,6,3,2,0,1,0,1,1
7,1,1,1,0,1,1,1,1,0,1,0,1
23,1,1,0,14,1,0,1,0,0,1,1,1
20,1,0,0,12,0,0,0,1,0,1,0,1
29,1,1,0,13,4,0,0,1,0,1,0,1
8,1,0,1,20,1,1,7,1,0,1,1,1
27,1,1,0,7,3,0,7,0,0,1,1,1
7,1,1,0,0,3,0,17,1,0,1,0,1
5,1,1,1,1,1,1,21,1,0,1,0,1
4,1,1,1,12,1,1,2,0,0,1,0,1
58,1,0,0,15,2,0,0,1,0,1,0,1
8,1,1,1,0,1,0,0,1,0,1,1,1
1,1,1,1,9,2,1,2,0,0,1,0,1
35,1,1,0,22,0,0,0,1,0,1,0,1
40,1,1,1,31,3,2,1,1,0,1,1,1
32,1,1,1,12,6,0,2,1,0,1,0,1
4,1,1,1,15,3,1,0,1,0,0,1,1
4,1,1,0,11,1,0,8,1,0,0,0,1
4,1,1,0,12,0,1,0,1,0,0,1,1
23,1,1,0,6,0,0,0,0,1,0,1,1
8,1,0,1,6,5,2,3,1,0,0,1,1
7,1,1,0,1,0,0,1,1,1,0,0,1
6,1,1,0,5,1,0,0,1,0,0,1,1
8,1,1,0,10,2,3,0,1,1,1,1,1
9,1,1,0,7,0,0,0,1,1,1,1,1
9,1,1,0,7,2,4,0,1,1,1,1,1
5,1,0,0,3,6,7,0,1,0,1,0,1
7,1,0,1,7,4,0,6,1,1,1,0,1
11,1,1,0,13,3,1,19,1,0,1,1,1
6,0,1,0,26,3,0,0,0,1,1,1,1
26,1,1,0,21,3,0,0,1,1,1,0,1
34,1,1,0,13,5,6,7,1,1,1,0,1
12,1,0,0,13,7,8,5,1,1,1,0,1
39,1,1,0,8,14,0,0,1,0,1,1,1
7,1,1,0,5,0,0,0,1,1,1,0,1
21,1,1,0,10,2,6,0,1,0,1,0,1
4,1,1,0,8,0,2,17,1,1,1,1,1
11,1,1,0,14,2,1,3,1,1,1,1,1
1,1,0,0,16,3,1,0,1,1,1,0,1
12,1,1,1,25,1,1,114,1,0,0,1,1
3,1,0,1,9,3,0,0,1,1,0,0,1
7,1,1,0,0,0,0,0,1,1,0,1,1
2,1,1,0,0,0,0,0,1,1,0,1,1
5,1,0,0,0,2,2,1,0,1,0,1,1
0,1,0,1,3,0,1,0,0,0,0,0,1
11,1,1,0,8,1,2,0,1,0,0,1,1
14,1,1,0,2,2,0,0,1,1,0,0,1
11,1,1,0,7,2,2,1,1,1,0,0,1
4,1,1,0,7,0,0,1,1,1,0,0,1
33,1,1,0,5,2,0,0,1,0,0,1,1
22,1,0,0,4,1,1,0,1,1,0,0,1
2,1,1,0,8,4,1,0,0,1,0,0,1
9,1,1,0,5,3,1,0,1,1,0,0,1
6,1,1,0,8,4,1,0,1,1,0,1,1
9,1,1,0,18,2,0,2,0,1,0,0,1
0,1,1,0,9,2,3,0,0,0,0,0,1
3,1,1,0,4,3,3,6,1,1,0,0,1
4,1,1,0,1,4,0,0,1,1,0,0,1
9,1,0,0,4,0,2,0,0,1,0,0,1
9,1,1,0,8,0,1,0,1,1,0,0,1
8,1,1,0,3,4,1,0,1,1,0,1,1
6,1,1,0,9,2,3,2,1,1,0,0,1
8,1,1,0,11,0,1,0,0,0,0,1,1
0,1,1,0,6,3,1,0,1,0,1,1,1
1,1,1,0,6,1,5,0,0,0,0,1,1
5,1,1,0,9,1,0,0,0,0,0,0,1
29,1,1,0,12,2,0,0,0,0,0,1,1
4,1,1,0,6,0,1,0,1,0,0,0,1
1,1,1,0,10,0,0,0,0,0,0,1,1
14,1,1,0,6,6,0,7,1,1,0,0,1
0,1,1,0,8,2,0,0,1,1,0,1,1
4,1,1,1,13,6,0,1,0,1,0,0,1
21,1,0,0,9,3,1,12,1,0,0,1,1
4,1,1,0,15,1,0,0,1,1,0,0,1
41,1,1,0,11,0,0,0,0,1,0,1,1
9,1,1,0,2,2,3,0,0,1,0,1,1
1,1,1,0,4,6,0,0,0,1,0,1,1
0,1,1,0,12,4,2,4,1,1,0,1,1
18,1,1,0,11,2,0,0,1,1,0,0,1
22,1,1,0,11,7,2,0,1,0,0,1,1
0,1,1,0,14,4,0,2,1,1,0,0,1
6,1,1,0,12,2,0,0,1,0,0,0,1
7,1,1,0,6,2,0,0,1,1,0,1,1
0,1,1,0,13,1,2,0,1,1,0,0,1
12,1,1,0,8,0,2,0,1,1,0,0,1
10,1,1,0,11,0,0,0,1,0,0,1,1
6,1,1,0,4,2,0,0,1,1,0,1,1
4,1,1,0,9,4,7,0,1,1,0,0,1
18,1,0,0,1,0,0,0,1,1,0,0,1
2,1,1,0,5,1,4,0,0,0,0,1,1
12,1,1,0,2,2,1,0,1,1,0,0,1
4,1,1,0,6,0,5,0,1,0,0,1,1
0,1,1,0,4,4,3,5,0,1,0,0,1
7,1,1,0,15,4,2,0,1,1,0,1,1
21,1,1,0,14,7,1,1,1,0,0,1,1
5,1,1,0,8,2,2,0,0,0,0,1,1
2,1,0,1,0,0,0,0,0,0,0,0,1
3,1,1,0,7,0,5,0,1,0,0,0,1
